Class,Worst Elbo,Best Elbo,Worst Var,Best Var
0,24,23,24,23
1,24,10,23,18
2,24,24,24,24
3,24,23,24,24
4,24,22,24,24
5,24,23,24,24
6,23,22,24,24
7,24,18,24,23
8,24,23,24,24
9,24,20,24,23
