Class,Worst Elbo,Best Elbo,Worst Var,Best Var
0,23,22,23,23
1,23,14,23,18
2,23,23,23,23
3,23,22,23,23
4,23,23,23,23
5,22,23,23,23
6,23,22,23,23
7,23,22,23,23
8,23,23,23,23
9,23,22,23,23
