elbo,elbo_var
-129.9416425505409,-5.137090294338451
-117.47708409703827,-7.187064528231989
-128.4508198854618,-7.855122324509008
-61.85307345685191,-8.671280333975806
-100.05565192201918,-2.2584815509579053
-139.3336874515251,-3.0298044610082546
-58.36256941836873,-4.3533611439578275
-113.03718846652384,-5.991116164928424
-50.7950415485867,-3.413008215457266
-105.76875543844895,-5.477525947396004
-98.20666367698817,-1.9958091330520327
-94.28518782246923,-3.893554271960045
-128.3970905377692,-9.909627994457612
-122.28672837953197,-13.070040909004906
-53.06174514425921,-2.0504415755810186
-91.9747056453239,-4.271248777852457
-135.14170682601747,-3.355874141184571
-111.91028691979416,-4.119539116049688
-97.06846817050659,-1.9568476809907491
-86.09852414536273,-4.66056960866763
-141.81788034723903,-6.1948644566365445
-130.46860371584478,-7.448376609192034
-85.47845007014807,-1.3670333802973784
-61.441696283439626,-2.436644406863869
-125.10934183788754,-12.020233485542896
-132.26296465902828,-7.321609196584717
-84.40473342253068,-0.8871016017900458
-122.19590013511502,-3.2895861352924367
-141.02158454057155,-6.2828086846396465
-88.68218156029323,-6.922816986256401
-140.30780273247137,-26.399538080813624
-107.82937350188557,-3.585448300295867
-102.07785671637512,-10.089295274325163
-93.67379532242235,-5.562104450088241
-110.3812436770649,-7.978722499968673
-105.44262857167155,-1.2677502083415337
-94.15113321049243,-5.994203878160084
-110.57853504317501,-8.22704078704453
-113.18992741370685,-2.5675522586940063
-112.19264261306911,-8.284381286203539
-49.95475493341569,-4.544140704889242
-111.94661965804403,-6.807179438382274
-76.72279235068973,-3.3766038140474404
-85.44174529405454,-10.753433599711407
-103.72624876774762,-2.2320667726483374
-93.54005128779521,-4.588202281432073
-134.28604036794093,-5.173435565176889
-97.84479887860353,-1.8415750640797381
-108.1589524717503,-10.576754203677064
-117.16496787739953,-5.893807294638734
-101.09523530658106,-1.999862497976655
-117.37554601699732,-6.3074603600158445
-106.77574982768863,-3.5193479026991676
-115.70751309044311,-14.855332614752033
-111.01003770980525,-15.523020431107224
-126.05526418580651,-7.830913104831977
-117.48612138212656,-9.32535161775306
-86.62366710129197,-0.21257519513640022
-96.14425571483248,-0.9284393085940515
-57.66941011537111,-1.3331504981697764
-133.28086850263816,-34.78589905895037
-105.24232377341744,-12.943635828945995
-98.8193574048772,-2.6332800817379316
-146.4725432509652,-20.11336178843068
-116.89856830729674,-3.9505248369894255
-92.29001722220637,-4.2093188455086885
-86.92038690089026,-2.935041395542368
-101.71979729687925,-18.452228227780363
-144.10507576843509,-10.15597866993334
-119.45303705715888,-11.035289956936758
-93.22478193048607,-12.778066936826258
-97.58467035343166,-4.111813708997214
-52.11683204501971,-5.510379958096733
-113.03446873859535,-10.784322392507663
-102.59617181601449,-9.825509541167268
-106.37285922839094,-9.281241827555279
-117.69428669623187,-4.948702686170794
-61.43462144653882,-2.320561464492599
-67.78904806169732,-4.525981445761411
-98.24898047961253,-3.301552530935661
-125.89124705491346,-3.314646430660882
-113.83017124663422,-3.1413973679765106
-131.5806552556493,-17.409425957045027
-113.35501883272433,-8.177549114543606
-92.19910472775796,-6.354897591468625
-120.87301443227983,-9.4800984825523
-119.61090371771269,-13.77247147931305
-113.6597566151147,-5.735272285939704
-132.8038445691183,-4.697835887078884
-110.47671639550651,-5.003200367672779
-109.31769508967545,-5.773257234001421
-110.91098814036863,-7.333511867731166
-91.88216820608643,-3.485758167877617
-113.54458203597397,-5.256156093119991
-108.94820530804037,-5.358138711031993
-102.77011451583127,-6.09467126842959
-69.72173000170538,-1.6634571298157679
-116.38495678063231,-1.5938691282659676
-86.91208634945251,-1.0398200913925326
-61.53686939958983,-4.577673649300462
-102.30004345333406,-11.285835787354504
-105.01858791383572,-5.889099473139471
-46.3324548735053,-1.7184940249582128
-81.37825246478965,-1.698781174889308
-57.18028447290749,-3.395672537535455
-59.1076583730067,-4.206233031019835
-108.22166048491755,-9.568886785551367
-112.3438914137837,-2.0762054922300477
-141.42761507980367,-14.440550839553184
-109.68599017396953,-4.7603168923068315
-100.62111638603582,-1.609448799594488
-149.19585671927257,-3.3961467419924776
-51.51082646866163,-6.929379186717547
-66.35181804129863,-3.918076223208923
-129.06108351416043,-13.405762014848067
-95.23086732048986,-2.1735893018277963
-89.80005869244118,-4.046891035937387
-142.87236681013775,-8.876586348584103
-129.70571769980506,-22.22177887521903
-121.91731281790634,-9.283048830969422
-127.21165869345057,-16.82274774406807
-160.31666971181954,-13.358859791339277
-105.12003851428904,-5.12236883824709
-95.31274732868874,-1.9381373739382228
-54.330486935236934,-5.453714344567634
-112.3678069199843,-7.2999807491548045
-99.09481519380147,-3.8131642882631147
-120.00288639876452,-3.7212614908704253
-58.25347514524822,-1.1759196365981657
-113.27729561328259,-5.610667352100805
-98.8435084600577,-9.131179283538431
-115.61079833471163,-2.572374883604832
-82.37797795917615,-1.5677659022468373
-79.38065009362305,-3.6769140018709052
-110.14362049073138,-10.661867997188347
-113.1672540826809,-3.326846053714765
-92.46227582167975,-6.929776091147966
-75.36060960261683,-2.0407619335143354
-121.64482901904874,-7.388448554846412
-100.38205418919684,-6.236834636766163
-88.78696554967112,-5.533396765365665
-96.63277203738613,-6.827003817103574
-106.06095029815171,-4.758621150014686
-126.13208553628141,-9.541417306906157
-123.68431374331065,-6.46814125832929
-105.3444440874214,-4.882387113419869
-127.65051693151428,-10.933591551516647
-88.98043541236088,-6.116429007399742
-103.39088461670185,-9.54980732889382
-109.36903187706613,-2.8939862117184347
-120.96957144760292,-6.831361247298061
-98.19538781897391,-4.366374374313102
-57.10870462292698,-5.566315447678516
-86.70898031212361,-2.6678246521717437
-112.01086345521783,-5.784223986071336
-108.74712901733488,-7.295279480613388
-109.48965725478952,-3.237201090018811
-107.10584433425055,-5.541707084854179
-120.41946033129744,-3.2303478333395645
-134.1485453418193,-4.5526562737181875
-116.05871559630683,-8.099633867705084
-133.45035445774334,-5.57359965445561
-83.75512716992887,-5.618002724993791
-115.34435633394371,-7.296881133855365
-104.30652086097227,-4.746175549979258
-90.50673629250902,-5.876235914584011
-90.31400217478341,-1.7164210957210704
-96.0208899351157,-2.641667074975486
-86.89919900612438,-3.5137651876829143
-105.64117571442736,-8.149125578265332
-87.91246272985175,-5.220056067277559
-126.24119734646665,-7.36398426128086
-114.5218779586681,-57.81885748278564
-89.83447664058686,-6.6789261814150915
-48.42153904241501,-2.7688012155742316
-107.9466614429837,-11.307039419725543
-89.47995670701064,-6.4780139499494975
-65.58982787652171,-7.784211900673075
-143.44729523819382,-6.890846690123748
-135.39725990665465,-7.478666525511731
-85.68798580401219,-10.648219693157769
-129.24162713821585,-11.09213483935803
-108.86451695461847,-4.190914841570566
-82.13466609794534,-1.4684842539328564
-56.113173517525354,-3.0908625963888268
-111.43268378368619,-3.6604300496306297
-113.15365071940529,-9.249175364892253
-133.41241626257244,-11.528957930747762
-121.60458947036605,-7.127855176836527
-141.60517061563047,-9.100807058298507
-140.39278516474351,-36.82882456244627
-99.60937478437955,-8.365548991552876
-112.2217270359277,-6.314564677632414
-109.81012687012395,-3.37204440633527
-88.91934771191151,-5.462775975470729
-91.68467862791874,-4.772595564522991
-96.26692090861143,-10.982612134356877
-110.80014060746555,-5.272299241456955
-113.60307774781926,-15.808037015464054
-128.00835047389333,-9.24714824618328
-63.00857009908677,-8.782444999984325
-81.51506057697901,-4.355346703737236
-125.36135940168035,-2.680295112378566
-125.13102248447257,-2.9893623406950898
-91.80499031713988,-3.1530894098918445
-68.62466509196815,-2.491382047166817
-124.65119467023875,-5.77530782783906
-129.35834208495783,-0.6924099699700855
-53.21801189914489,-4.460197424839053
-117.37101195892089,-1.7414912341928064
-107.59008025685758,-8.094843296946143
-49.607839720946735,-5.372280480564405
-78.1315165163576,-5.370979485081941
-128.06284395557628,-2.6469369760413284
-95.77373804364277,-15.785548564020566
-109.68042928755588,-7.973627100766775
-111.2914179433912,-3.8488647191086147
-92.649046265325,-6.085311061569024
-108.58895041016699,-4.672202866898355
-114.69539680871156,-2.938904394022286
-150.0143802647482,-3.100118286698714
-115.87235581721512,-4.809778241472478
-112.52701249498836,-12.19316770706696
-88.5227220280133,-5.103543719479239
-126.09561821924409,-3.3343557293371218
-126.48010004230021,-8.73474252722665
-85.85127505302097,-1.7238186210646098
-91.03946554553004,-3.16031461826465
-113.8030485049084,-7.929426056057666
-125.62523841215034,-7.6211523156733385
-79.92811658311933,-3.065046335612369
-55.482021607101835,-5.715505970143556
-105.90403991324597,-6.34699256392037
-112.85011941015753,-2.218447820380148
-123.98034520760999,-4.373315577921852
-100.60626697359965,-3.8164781994837256
-112.44928676776918,-6.919669778810874
-96.40503603804048,-5.646742881718838
-109.21541959207214,-5.314558045378313
-109.71417037256909,-9.840184578076368
-114.79171401078843,-8.803081922790357
-112.13786425049923,-6.839667832455789
-127.1182237490807,-4.752857745626276
-86.91104135054013,-5.306291285795266
-125.12638766189839,-14.405968991561114
