,Worst Elbo,Best Elbo,Mean Elbo,Worst Var,Best Var,Mean Var
0,-210.760,-84.534,-119.751,-80.169,-0.567,-7.586
1,-169.865,-38.210,-60.029,-69.353,-0.356,-4.576
2,-220.905,-74.668,-124.498,-78.325,-0.411,-8.872
3,-221.503,-67.981,-116.383,-58.655,-0.349,-7.146
4,-192.288,-67.970,-106.617,-63.912,-0.387,-6.482
5,-203.461,-76.225,-117.237,-58.840,-0.196,-6.913
6,-221.461,-69.370,-109.645,-57.091,-0.390,-6.734
7,-190.936,-60.879,-93.386,-51.789,-0.275,-6.171
8,-243.052,-75.361,-124.680,-63.934,-0.383,-7.292
9,-193.434,-68.418,-99.989,-64.763,-0.213,-5.373
